Created as New Dataset,FAGACs+3p75PEAI
nm,A
850.0,-0.0077
849.0,-0.0031
848.0,-0.0068
847.0,-0.0020
846.0,-0.0127
845.0,-0.0030
844.0,-0.0092
843.0,-0.0031
842.0,-0.0026
841.0,-0.0048
840.0,-0.0014
839.0,-0.0036
838.0,-0.0012
837.0,0.0017
836.0,-0.0006
835.0,-0.0038
834.0,-0.0065
833.0,-0.0029
832.0,0.0004
831.0,-0.0026
830.0,-0.0005
829.0,-0.0052
828.0,-0.0047
827.0,0.0019
826.0,-0.0009
825.0,-0.0029
824.0,0.0001
823.0,-0.0051
822.0,-0.0043
821.0,-0.0062
820.0,-0.0045
819.0,-0.0047
818.0,-0.0073
817.0,-0.0018
816.0,-0.0009
815.0,0.0007
814.0,-0.0061
813.0,-0.0024
812.0,-0.0043
811.0,-0.0057
810.0,-0.0042
809.0,-0.0050
808.0,-0.0068
807.0,-0.0014
806.0,-0.0044
805.0,-0.0022
804.0,-0.0060
803.0,-0.0038
802.0,-0.0002
801.0,-0.0045
800.0,-0.0052
799.0,-0.0014
798.0,-0.0010
797.0,-0.0035
796.0,-0.0021
795.0,-0.0032
794.0,-0.0010
793.0,-0.0025
792.0,-0.0017
791.0,-0.0034
790.0,-0.0003
789.0,-0.0042
788.0,-0.0021
787.0,-0.0016
786.0,-0.0033
785.0,-0.0059
784.0,-0.0039
783.0,-0.0066
782.0,-0.0051
781.0,-0.0029
780.0,-0.0050
779.0,-0.0032
778.0,-0.0029
777.0,-0.0028
776.0,-0.0025
775.0,-0.0038
774.0,-0.0009
773.0,-0.0017
772.0,-0.0028
771.0,-0.0050
770.0,-0.0039
769.0,-0.0033
768.0,-0.0024
767.0,-0.0025
766.0,-0.0038
765.0,-0.0035
764.0,-0.0035
763.0,-0.0024
762.0,-0.0042
761.0,-0.0031
760.0,-0.0060
759.0,-0.0050
758.0,-0.0043
757.0,-0.0046
756.0,-0.0031
755.0,-0.0049
754.0,-0.0045
753.0,-0.0041
752.0,-0.0026
751.0,-0.0031
750.0,-0.0031
