Created as New Dataset,FAGACs+3p75PEAI
749.0,-0.0040
748.0,-0.0019
747.0,-0.0021
746.0,-0.0024
745.0,-0.0020
744.0,-0.0026
743.0,-0.0037
742.0,-0.0056
741.0,-0.0039
740.0,-0.0041
739.0,-0.0055
738.0,-0.0055
737.0,-0.0039
736.0,-0.0028
735.0,-0.0017
734.0,-0.0031
733.0,-0.0041
732.0,-0.0037
731.0,-0.0045
730.0,-0.0021
729.0,-0.0018
728.0,-0.0022
727.0,-0.0028
726.0,-0.0042
725.0,-0.0021
724.0,-0.0016
723.0,-0.0031
722.0,-0.0035
721.0,-0.0022
720.0,-0.0020
719.0,-0.0038
718.0,-0.0048
717.0,-0.0031
716.0,-0.0042
715.0,-0.0036
714.0,-0.0023
713.0,-0.0036
712.0,-0.0035
711.0,-0.0034
710.0,-0.0030
709.0,-0.0027
708.0,-0.0025
707.0,-0.0018
706.0,-0.0035
705.0,-0.0040
704.0,-0.0019
703.0,-0.0009
702.0,-0.0002
701.0,0.0004
700.0,0.0003
699.0,-0.0005
698.0,0.0004
697.0,0.0011
696.0,0.0007
695.0,0.0004
694.0,0.0006
693.0,0.0016
692.0,0.0024
691.0,0.0027
690.0,0.0033
689.0,0.0044
688.0,0.0058
687.0,0.0069
686.0,0.0068
685.0,0.0080
684.0,0.0099
683.0,0.0120
682.0,0.0139
681.0,0.0152
680.0,0.0163
679.0,0.0188
678.0,0.0227
677.0,0.0255
676.0,0.0280
675.0,0.0296
674.0,0.0323
673.0,0.0376
672.0,0.0415
671.0,0.0455
670.0,0.0508
669.0,0.0561
668.0,0.0609
667.0,0.0668
666.0,0.0726
665.0,0.0804
664.0,0.0882
663.0,0.0942
662.0,0.1011
661.0,0.1085
660.0,0.1166
659.0,0.1250
658.0,0.1325
657.0,0.1402
656.0,0.1478
655.0,0.1554
654.0,0.1641
653.0,0.1715
652.0,0.1790
651.0,0.1860
650.0,0.1913
649.0,0.1978
648.0,0.2031
647.0,0.2059
646.0,0.2117
645.0,0.2164
644.0,0.2213
643.0,0.2245
642.0,0.2270
641.0,0.2289
640.0,0.2310
639.0,0.2355
638.0,0.2371
637.0,0.2404
636.0,0.2419
635.0,0.2420
634.0,0.2441
633.0,0.2455
632.0,0.2467
631.0,0.2472
630.0,0.2487
629.0,0.2488
628.0,0.2505
627.0,0.2518
626.0,0.2537
625.0,0.2537
624.0,0.2551
623.0,0.2561
622.0,0.2567
621.0,0.2570
620.0,0.2580
619.0,0.2596
618.0,0.2604
617.0,0.2595
616.0,0.2604
615.0,0.2618
614.0,0.2628
613.0,0.2638
612.0,0.2657
611.0,0.2660
610.0,0.2656
609.0,0.2681
608.0,0.2682
607.0,0.2690
606.0,0.2697
605.0,0.2722
604.0,0.2711
603.0,0.2718
602.0,0.2732
601.0,0.2733
600.0,0.2759
599.0,0.2756
598.0,0.2769
597.0,0.2777
596.0,0.2793
595.0,0.2803
594.0,0.2808
593.0,0.2829
592.0,0.2824
591.0,0.2840
590.0,0.2839
589.0,0.2847
588.0,0.2853
587.0,0.2865
586.0,0.2876
585.0,0.2889
584.0,0.2896
583.0,0.2908
582.0,0.2922
581.0,0.2927
580.0,0.2933
579.0,0.2922
578.0,0.2935
577.0,0.2956
576.0,0.2966
575.0,0.2979
574.0,0.2972
573.0,0.2981
572.0,0.2982
571.0,0.3007
570.0,0.3033
569.0,0.3029
568.0,0.3043
567.0,0.3037
566.0,0.3068
565.0,0.3081
564.0,0.3091
563.0,0.3089
562.0,0.3106
561.0,0.3119
560.0,0.3125
559.0,0.3158
558.0,0.3166
557.0,0.3173
556.0,0.3178
555.0,0.3190
554.0,0.3201
553.0,0.3216
552.0,0.3221
551.0,0.3253
550.0,0.3243
549.0,0.3271
548.0,0.3278
547.0,0.3309
546.0,0.3319
545.0,0.3327
544.0,0.3342
543.0,0.3370
542.0,0.3387
541.0,0.3405
540.0,0.3432
539.0,0.3436
538.0,0.3468
537.0,0.3491
536.0,0.3494
535.0,0.3528
534.0,0.3543
533.0,0.3572
532.0,0.3586
531.0,0.3605
530.0,0.3643
529.0,0.3672
528.0,0.3683
527.0,0.3715
526.0,0.3732
525.0,0.3766
524.0,0.3777
523.0,0.3817
522.0,0.3840
521.0,0.3866
520.0,0.3905
519.0,0.3936
518.0,0.3971
517.0,0.3997
516.0,0.4034
515.0,0.4064
514.0,0.4102
513.0,0.4132
512.0,0.4178
511.0,0.4217
510.0,0.4253
509.0,0.4274
508.0,0.4301
507.0,0.4368
506.0,0.4416
505.0,0.4435
504.0,0.4485
503.0,0.4510
502.0,0.4561
501.0,0.4603
500.0,0.4634
