Created as New Dataset,FAGACs
nm,A
515.0,0.4596
514.0,0.4633
513.0,0.4667
512.0,0.4690
511.0,0.4727
510.0,0.4758
509.0,0.4784
508.0,0.4817
507.0,0.4868
506.0,0.4907
505.0,0.4937
504.0,0.4958
503.0,0.4987
502.0,0.5038
501.0,0.5085
500.0,0.5112
