Created as New Dataset,FAGACs+2p5PEAI
nm,A
850.0,-0.0034
849.0,-0.0129
848.0,-0.0042
847.0,-0.0111
846.0,-0.0095
845.0,-0.0027
844.0,0.0008
843.0,0.0023
842.0,-0.0053
841.0,-0.0022
840.0,-0.0022
839.0,-0.0012
838.0,0.0042
837.0,-0.0009
836.0,-0.0022
835.0,-0.0040
834.0,-0.0062
833.0,-0.0066
832.0,-0.0023
831.0,-0.0056
830.0,-0.0017
829.0,-0.0043
828.0,-0.0014
827.0,-0.0018
826.0,0.0016
825.0,-0.0024
824.0,-0.0008
823.0,-0.0035
822.0,-0.0021
821.0,-0.0055
820.0,-0.0066
819.0,-0.0059
818.0,-0.0046
817.0,0.0014
816.0,0.0027
815.0,-0.0044
814.0,-0.0033
813.0,-0.0039
812.0,-0.0026
811.0,-0.0056
810.0,-0.0047
809.0,-0.0063
808.0,-0.0046
807.0,-0.0005
806.0,-0.0024
805.0,-0.0039
804.0,-0.0067
803.0,-0.0036
802.0,-0.0023
801.0,-0.0047
800.0,-0.0022
799.0,-0.0046
798.0,-0.0007
797.0,-0.0017
796.0,-0.0016
795.0,-0.0050
794.0,-0.0042
793.0,-0.0038
792.0,-0.0028
791.0,-0.0077
790.0,-0.0045
789.0,-0.0059
788.0,-0.0023
787.0,-0.0024
786.0,-0.0024
785.0,-0.0057
784.0,-0.0048
783.0,-0.0057
782.0,-0.0031
781.0,-0.0026
780.0,-0.0042
779.0,-0.0029
778.0,-0.0023
777.0,-0.0030
776.0,-0.0028
775.0,-0.0029
774.0,-0.0014
773.0,-0.0004
772.0,-0.0034
771.0,-0.0054
770.0,-0.0044
769.0,-0.0034
768.0,-0.0037
767.0,-0.0011
766.0,-0.0017
765.0,-0.0032
764.0,-0.0036
763.0,-0.0043
762.0,-0.0044
761.0,-0.0034
760.0,-0.0054
759.0,-0.0045
758.0,-0.0039
757.0,-0.0042
756.0,-0.0031
755.0,-0.0045
754.0,-0.0039
753.0,-0.0038
752.0,-0.0047
751.0,-0.0053
750.0,-0.0029
749.0,-0.0045
748.0,-0.0047
747.0,-0.0032
746.0,-0.0024
745.0,-0.0031
744.0,-0.0037
743.0,-0.0036
742.0,-0.0042
741.0,-0.0037
740.0,-0.0041
739.0,-0.0038
738.0,-0.0045
737.0,-0.0032
736.0,-0.0034
735.0,-0.0034
734.0,-0.0034
733.0,-0.0038
732.0,-0.0050
731.0,-0.0055
730.0,-0.0034
729.0,-0.0036
728.0,-0.0022
