Created as New Dataset,FAGACs+2p5PEAI
727.0,-0.0032
726.0,-0.0042
725.0,-0.0021
724.0,-0.0024
723.0,-0.0051
722.0,-0.0044
721.0,-0.0027
720.0,-0.0040
719.0,-0.0060
718.0,-0.0065
717.0,-0.0036
716.0,-0.0039
715.0,-0.0040
714.0,-0.0027
713.0,-0.0031
712.0,-0.0041
711.0,-0.0044
710.0,-0.0039
709.0,-0.0034
708.0,-0.0030
707.0,-0.0034
706.0,-0.0036
705.0,-0.0025
704.0,-0.0012
703.0,-0.0007
702.0,-0.0002
701.0,-0.0000
700.0,-0.0004
699.0,-0.0010
698.0,-0.0008
697.0,-0.0004
696.0,-0.0003
695.0,-0.0007
694.0,-0.0004
693.0,-0.0002
692.0,-0.0008
691.0,-0.0005
690.0,0.0014
689.0,0.0032
688.0,0.0036
687.0,0.0034
686.0,0.0040
685.0,0.0052
684.0,0.0070
683.0,0.0087
682.0,0.0107
681.0,0.0123
680.0,0.0137
679.0,0.0159
678.0,0.0184
677.0,0.0204
676.0,0.0229
675.0,0.0252
674.0,0.0281
673.0,0.0321
672.0,0.0359
671.0,0.0401
670.0,0.0453
669.0,0.0488
668.0,0.0536
667.0,0.0604
666.0,0.0649
665.0,0.0718
664.0,0.0803
663.0,0.0871
662.0,0.0946
661.0,0.1014
660.0,0.1087
659.0,0.1154
658.0,0.1235
657.0,0.1312
656.0,0.1390
655.0,0.1475
654.0,0.1560
653.0,0.1628
652.0,0.1708
651.0,0.1776
650.0,0.1826
649.0,0.1900
648.0,0.1960
647.0,0.2014
646.0,0.2068
645.0,0.2113
644.0,0.2150
643.0,0.2187
642.0,0.2225
641.0,0.2238
640.0,0.2265
639.0,0.2314
638.0,0.2334
637.0,0.2373
636.0,0.2379
635.0,0.2398
634.0,0.2417
633.0,0.2427
632.0,0.2452
631.0,0.2458
630.0,0.2470
629.0,0.2484
628.0,0.2507
627.0,0.2524
626.0,0.2537
625.0,0.2529
624.0,0.2539
623.0,0.2570
622.0,0.2570
621.0,0.2582
620.0,0.2583
619.0,0.2586
618.0,0.2603
617.0,0.2616
616.0,0.2637
615.0,0.2641
614.0,0.2650
613.0,0.2663
612.0,0.2673
611.0,0.2683
610.0,0.2696
609.0,0.2704
608.0,0.2729
607.0,0.2728
606.0,0.2735
605.0,0.2747
604.0,0.2746
603.0,0.2753
602.0,0.2777
601.0,0.2780
600.0,0.2809
599.0,0.2819
598.0,0.2833
597.0,0.2835
596.0,0.2849
595.0,0.2858
594.0,0.2874
593.0,0.2891
592.0,0.2896
591.0,0.2883
590.0,0.2905
589.0,0.2912
588.0,0.2912
587.0,0.2937
586.0,0.2936
585.0,0.2965
584.0,0.2969
583.0,0.2969
582.0,0.2995
581.0,0.3000
580.0,0.3021
579.0,0.3020
578.0,0.3026
577.0,0.3047
576.0,0.3055
575.0,0.3069
574.0,0.3066
573.0,0.3071
572.0,0.3079
571.0,0.3101
570.0,0.3127
569.0,0.3131
568.0,0.3143
567.0,0.3130
566.0,0.3160
565.0,0.3184
564.0,0.3184
563.0,0.3195
562.0,0.3208
561.0,0.3211
560.0,0.3221
559.0,0.3249
558.0,0.3241
557.0,0.3270
556.0,0.3266
555.0,0.3286
554.0,0.3286
553.0,0.3307
552.0,0.3314
551.0,0.3331
550.0,0.3356
549.0,0.3370
548.0,0.3378
547.0,0.3399
546.0,0.3399
545.0,0.3433
544.0,0.3424
543.0,0.3462
542.0,0.3486
541.0,0.3497
540.0,0.3509
539.0,0.3525
538.0,0.3547
537.0,0.3564
536.0,0.3575
535.0,0.3601
534.0,0.3619
533.0,0.3644
532.0,0.3667
531.0,0.3684
530.0,0.3716
529.0,0.3748
528.0,0.3759
527.0,0.3777
526.0,0.3807
525.0,0.3834
524.0,0.3858
523.0,0.3898
522.0,0.3898
521.0,0.3940
520.0,0.3974
519.0,0.3996
518.0,0.4024
517.0,0.4050
516.0,0.4079
515.0,0.4116
514.0,0.4151
513.0,0.4175
512.0,0.4218
511.0,0.4251
510.0,0.4283
509.0,0.4319
508.0,0.4339
507.0,0.4400
506.0,0.4438
505.0,0.4474
504.0,0.4508
503.0,0.4533
502.0,0.4582
501.0,0.4625
500.0,0.4673
