Created as New Dataset,FAGACs+1p25PEAI
nm,A
514.0,0.4417
513.0,0.4443
512.0,0.4471
511.0,0.4505
510.0,0.4538
509.0,0.4552
508.0,0.4591
507.0,0.4629
506.0,0.4661
505.0,0.4686
504.0,0.4716
503.0,0.4758
502.0,0.4806
501.0,0.4823
500.0,0.4867
