Created as New Dataset,FAGACs+5PEAI
nm,A
512.0,0.1640
511.0,0.1646
510.0,0.1643
509.0,0.1642
508.0,0.1647
507.0,0.1663
506.0,0.1672
505.0,0.1674
504.0,0.1666
503.0,0.1678
502.0,0.1678
501.0,0.1696
500.0,0.1704
